"Step","Our Work - island_0_best_score","Our Work - island_0_best_score__MIN","Our Work - island_0_best_score__MAX","Benchmark - island_0_best_score","Benchmark - island_0_best_score__MIN","Benchmark - island_0_best_score__MAX"
"961","","","","-208.8","-208.8","-208.8"
"962","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"963","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"964","","","","-208.8","-208.8","-208.8"
"965","","","","-208.8","-208.8","-208.8"
"966","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"967","-209.9","-209.9","-209.9","","",""
"968","-209.9","-209.9","-209.9","","",""
"969","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"970","","","","-208.8","-208.8","-208.8"
"971","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"972","","","","-208.8","-208.8","-208.8"
"973","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"974","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"976","","","","-208.8","-208.8","-208.8"
"977","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"990","-209.9","-209.9","-209.9","","",""
"991","","","","-208.8","-208.8","-208.8"
"992","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"993","","","","-208.8","-208.8","-208.8"
"994","","","","-208.8","-208.8","-208.8"
"995","-209.9","-209.9","-209.9","","",""
"997","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"998","","","","-208.8","-208.8","-208.8"
"999","","","","-208.8","-208.8","-208.8"
"1000","","","","-208.8","-208.8","-208.8"
"1003","-209.9","-209.9","-209.9","","",""
"1009","-209.9","-209.9","-209.9","","",""
"1017","-209.9","-209.9","-209.9","","",""
"1018","-209.9","-209.9","-209.9","","",""
"1019","-209.9","-209.9","-209.9","","",""
"1020","-209.9","-209.9","-209.9","","",""
"1022","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"1023","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"1028","","","","-208.8","-208.8","-208.8"
"1029","-209.9","-209.9","-209.9","-208.8","-208.8","-208.8"
"1030","-209.9","-209.9","-209.9","","",""
"1036","","","","-208.8","-208.8","-208.8"
"1037","","","","-208.45","-208.45","-208.45"
"1039","-209.9","-209.9","-209.9","","",""
"1041","-209.9","-209.9","-209.9","","",""
"1043","","","","-208.45","-208.45","-208.45"
"1045","-209.7","-209.7","-209.7","-208.45","-208.45","-208.45"
"1046","-209.7","-209.7","-209.7","","",""
"1047","-209.7","-209.7","-209.7","-208.45","-208.45","-208.45"
"1049","-209.7","-209.7","-209.7","-208.45","-208.45","-208.45"
"1052","","","","-208.45","-208.45","-208.45"
"1053","","","","-208.45","-208.45","-208.45"
"1055","-209.65","-209.65","-209.65","","",""
"1056","","","","-208.45","-208.45","-208.45"
"1057","","","","-208.45","-208.45","-208.45"
"1058","-209.55","-209.55","-209.55","","",""
"1060","-209.55","-209.55","-209.55","","",""
"1061","-209.55","-209.55","-209.55","","",""
"1062","","","","-208.45","-208.45","-208.45"
"1063","-209.55","-209.55","-209.55","-208.45","-208.45","-208.45"
"1064","","","","-208.45","-208.45","-208.45"
"1065","","","","-208.45","-208.45","-208.45"
